ሀ ha, ሁ hu, ሂ hi, ሃ hā, ሄ hé, ህ h, ሆ ho
ለ la, ሉ lu, ሊ li, ላ lā, ሌ lé, ል l, ሎ lo
ሐ ḥa, ሑ ḥu, ሒ ḥi, ሓ ḥā, ሔ ḥé, ሕ ḥ, ሖ ḥo 
መ ma, ሙ mu, ሚ mi, ማ mā, ሜ mé, ም m, ሞ mo
ሠ śa, ሡ śu, ሢ śi, ሣ śā, ሤ śé, ሥ ś, ሦ śo
ረ ra, ሩ ru, ሪ ri, ራ rā, ሬ ré, ር r, ሮ ro
ሰ sa, ሱ su, ሲ si, ሳ sā, ሴ sé, ስ s, ሶ so
ሸ ša, ሹ šu, ሺ ši, ሻ šā, ሼ šé, ሽ š, ሾ šo
ቀ qa, ቁ qu, ቂ qi, ቃ qā, ቄ qé, ቅ q, ቆ qo
በ ba, ቡ bu, ቢ bi, ባ bā, ቤ bé, ብ b, ቦ bo
ተ ta, ቱ tu, ቲ ti, ታ tā, ቴ té, ት t, ቶ to
ቸ ča, ቹ ču, ቺ či, ቻ čā, ቼ čé, ች č, ቾ čo
ኀ 'ha, ኁ 'hu, ኂ 'hi, ኃ 'hā, ኄ 'hé, ኅ 'h, ኆ 'ho
ነ na, ኑ nu, ኒ ni, ና nā, ኔ né, ን n, ኖ no
ኘ ña, ኙ ñu, ኚ ñi, ኛ ñā, ኜ ñé, ኝ ñ, ኞ ño
አ a, ኡ u, ኢ i, ኣ ā, ኤ é, እ e, ኦ o
ከ ka, ኩ ku, ኪ ki, ካ kā, ኬ ké, ክ k, ኮ ko
ኸ xa, ኹ xu, ኺ xi, ኻ xā, ኼ xé, ኽ x, ኾ xo
ወ wa, ዉ wu, ዊ wi, ዋ wā, ዌ wé, ው w, ዎ wo
ዐ ʻa, ዑ ʻu, ዒ ʻi, ዓ ʻā, ዔ ʻé, ዕ ʻ, ዖ ʻo
ዘ za, ዙ zu, ዚ zi, ዛ zā, ዜ zé, ዝ z, ዞ zo
ዠ ža, ዡ žu, ዢ ži, ዣ žā, ዤ žé, ዥ ž, ዦ žo
የ ya, ዩ yu, ዪ yi, ያ yā, ዬ yé, ይ y, ዮ yo
ደ da, ዱ du, ዲ di, ዳ dā, ዴ dé, ድ d, ዶ do
ጀ ja, ጁ ju, ጂ ji, ጃ jā, ጄ jé, ጅ j, ጆ jo
ገ ga, ጉ gu, ጊ gi, ጋ gā, ጌ gé, ግ g, ጎ go
ጠ ṭa, ጡ ṭu, ጢ ṭi, ጣ ṭā, ጤ ṭé, ጥ ṭ, ጦ ṭo
ጨ ċa, ጩ ċu, ጪ ċi, ጫ ċā, ጬ ċé, ጭ ċ, ጮ ċo
ጰ 9a, ጱ 9u, ጲ 9i, ጳ 9ā, ጴ 9é, ጵ 9, ጶ 9o
ጸ ṣa, ጹ ṣu, ጺ ṣi, ጻ ṣā, ጼ ṣé, ጽ ṣ, ጾ ṣo
ፀ ṡa, ፁ ṡu, ፂ ṡi, ፃ ṡā, ፄ ṡé, ፅ ṡ, ፆ ṡo
ፈ fa, ፉ fu, ፊ fi, ፋ fā, ፌ fé, ፍ f, ፎ fo
ፐ pa, ፑ pu, ፒ pi, ፓ pā, ፔ pé, ፕ p, ፖ po
ቨ va, ቩ vu, ቪ vi, ቫ vā, ቬ vé, ቭ v, ቮ vo
