Suffix_inEng_CV, Rules, Suffix_inAmh_CV, Suffix_inAmh
a|ñā|na|t|m, , ኧኝኣንኧትም, አኛነትም7
i|ʻa|la|š, , ኢዕኧልኧሽ, ኢዐለሽ
ā|ča|wā|l, , ኣችኧውኣል, ኣቸዋል
a|čā|č|hu, , ኧችኣችህኡ, አቻችሁ
a|čā|ča|w, , ኧችኣችኧው, አቻቸው
ā|lā|la|č, , ኣልኣልኧች, ኣላለች
bā|ča|w|s, , ብኣችኧውስ, ባቸውስ
ā|lā|č|hu, , ኣልኣችህኡ, ኣላችሁ
wo|č|n|nā, , ውኦችንንኣ, ዎችንና
a|ñā|na|t, , ኧኝኣንኧት, አኛነት6
bā|ča|w, , ብኣችኧው, ባቸው
ā|č|hu|m, , ኣችህኡም, ኣችሁም
ā|ča|w|n, , ኣችኧውን, ኣቸውን
ā|l|č|hu, , ኣልችህኡ, ኣልችሁ
ā|č|hu|t, , ኣችህኡት, ኣችሁት
ā|č|hu|n, , ኣችህኡን, ኣችሁን
a|ñā|w|m, , ኧኝኣውም, አኛውም
o|č|n|nā, , ኦችንንኣ, ኦችንና
ā|la|hu, , ኣልኧህኡ, ኣለሁ
wo|ču|n, , ውኦችኡን, ዎቹን
a|ñā|nā, , ኧኝኣንኣ, አኛና5
ā|wi|w, , ኣውኢው, ኣዊው
a|čā|t, , ኧችኣት, አቻት
ā|wo|č, , ኣውኦች, ኣዎች
ā|la|h, , ኣልኧህ, ኣለህ
ā|la|š, , ኣልኧሽ, ኣለሽ
ā|la|č, , ኣልኧች, ኣለች
ā|la|n, , ኣልኧን, ኣለን
ā|č|hu, , ኣችህኡ, ኣችሁ
wā|č|n, , ውኦችን, ዋችን
ā|ča|w, , ኣችኧው, ኣቸው
a|w|nā, , ኧውንኣ, አውና
o|ču|n, , ኦችኡን, ኦቹን
a|ñā|n, , ኧኝኣን, አኛን
a|ñā|w, , ኧኝኣው, አኛው
ba|t|n, , ብኧትን, በትን
yu|š|n, , ይኡሽን, ዩሽን
ñā|w|n, , ኝኣውን, ኛውን
ñā|wā, , ኝኣውኣ, ኛዋ
wo|ču, , ውኦችኡ, ዎቹ4
wo|č, , ውኦች, ዎች
a|č|w, , ኧችው, አችው
ā|č|n, , ኣችን, ኣችን
a|č|n, , ኧችን, አችን
a|č|m, , ኧችም, አችም
a|č|h, , ኧችህ, አችህ
a|č|š, , ኧችሽ, አችሽ
a|č|n, , ኧችን, አችን
a|č|w, , ኧችው, አችው
o|č|n, , ኦችን, ኦችን
o|wā, , ኦውኣ, ኦዋ
a|ču, , ኧችኡ, አቹ
é|ču, , ኤችኡ, ኤቹ
na|w, , ንኧው, ነው
na|t, , ንኧት, ነት
ā|lu, , ኣልኡ, ኣሉ
ku|m, , ክኡም, ኩም
ku|t, , ክኡት, ኩት
ka|w, , ክኧው, ከው
yu|š, , ይኡሽ, ዩሽ
a|wi, , ኧውኢ, አዊ
ā|wi, , ኣውኢ, ኣዊ
ba|t, , ብኧት, በት
o|ču, , ኦችኡ, ኦቹ
wo|n, , ውኦን, ዎን
a|ñā, , ኧኝኣ, አኛ
ñā|w, , ኝኣው, ኛው3
o|č, , ኦች, ኦች
ā|l, , ኣል, ኣል
a|m, , ኧም, አም
š|w, , ሽው, ሽው
k|m, , ክም, ክም
a|w, , ኧው, አው
t|m, , ትም, ትም
w|m, , ውም, ውም
w|n, , ውን, ውን
n|m, , ንም, ንም
š|n, , ሽን, ሽን
ā|č, , ኣች, ኣች
u|t, , ኡት, ኡት
ā|t, , ኣት, ኣት
i|t, , ኢት, ኢት
a|č, , ኧች, አች
u|n, , ኡን, ኡን
wo, , ውኦ, ዎ
ku, , ክኡ, ኩ2
é, , ኤ, ኤ
h, , ህ, ህ
š, , ሽ, ሽ
u, , ኡ, ኡ
š, , ሽ, ሽ
k, , ክ, ክ
a, , ኧ, አ
n, , ን, ን
m, , ም, ም
nā, , ንኣ, ና
w, , ው, ው1
